자장면,짬뽕,탕수육,마라탕,우동,생선회,초밥,돈부리 덮밥,라멘,치킨,스파게티,피자,햄버거,스테이크,비빔밥,볶음밥,김치찌개,된장찌개,순두부찌개,삼계탕,갈비,생선구이,삼겹살,보쌈,족발,곱창,떡볶이,돈가스,제육볶음
6,3,3,3,10,6,10,10,10,10,10,10,10,6,10,6,3,6,3,3,6,2,6,6,3,1,6,6,10
3,3,6,6,6,10,10,10,10,6,6,6,6,10,10,10,6,6,10,6,6,3,6,3,6,10,3,6,10
3,6,3,6,3,1,3,2,3,6,6,6,10,10,2,3,3,6,6,3,3,6,6,3,6,3,3,3,3
6,6,6,3,6,10,10,10,10,10,3,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,6,6
10,2,3,3,2,1,3,3,10,10,10,10,10,3,10,10,6,2,3,3,10,1,10,10,6,10,10,6,10
6,10,10,10,3,10,6,2,10,6,3,3,3,6,3,6,10,10,10,3,10,2,6,6,3,3,3,3,3
6,6,10,6,6,6,6,10,6,10,3,3,3,3,3,3,6,3,3,3,3,6,6,6,6,6,3,10,10
10,3,10,10,10,6,6,10,10,10,10,10,10,10,10,10,10,10,3,10,10,6,10,10,10,10,10,10,10
6,6,6,3,3,6,10,3,6,10,10,6,10,10,6,6,10,6,6,10,10,6,10,10,10,10,6,10,6
6,3,6,6,6,6,3,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,6,10,10,10,10,6,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6,6,6,3,6,6,10,6,6,10,6,3,6,6,3,6,3,3,6,3,6,3,3,6,3,3,2,3,3
6,6,6,3,3,10,10,10,10,10,6,3,6,10,6,10,6,3,3,6,10,3,6,10,10,10,6,3,6
6,6,10,10,6,10,10,6,6,10,6,6,6,10,3,6,6,10,10,10,2,3,10,10,10,10,10,6,6
10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,6,6,6,10,6,6,10,10,10,3,10,10,10
6,2,10,2,6,1,3,3,6,10,10,6,3,6,3,3,6,6,10,3,6,3,10,3,10,6,3,6,3
6,3,6,1,10,6,6,10,10,6,6,6,6,6,3,3,3,6,6,10,6,3,6,6,10,3,10,10,10
10,10,10,10,3,10,10,10,10,10,3,10,10,10,10,2,6,3,3,6,6,1,10,10,10,10,10,10,10
6,6,6,3,3,6,6,6,6,10,6,6,6,6,3,6,6,6,6,6,10,6,10,10,10,10,10,10,10
6,10,10,2,10,1,3,6,10,10,10,10,10,10,10,6,10,10,10,10,10,3,10,10,6,10,10,10,10
3,6,6,6,6,6,6,3,3,6,3,6,3,6,6,6,3,3,6,6,6,2,6,6,6,3,6,3,6
10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,3,10,3,10,10,10,10,10,10,10,10,10,10,3,3,6,10,10,3,6,2,10,6,6,10,3,6,6
6,3,6,2,6,1,2,6,6,6,6,6,6,6,6,6,6,6,6,3,6,3,6,6,6,6,6,6,6
6,6,6,10,6,10,10,6,6,10,6,6,10,10,3,6,6,3,6,6,10,2,10,6,6,6,6,6,10
6,6,3,10,3,10,10,3,6,10,6,10,3,6,3,6,10,6,6,3,3,3,6,6,6,10,3,3,6
3,3,3,3,3,1,1,6,6,10,6,10,6,6,3,2,3,3,2,3,6,3,3,6,2,2,6,3,3
3,6,6,3,10,6,6,3,6,6,10,10,6,10,6,10,6,10,6,10,6,6,6,10,10,3,6,2,3
3,6,3,2,3,1,2,2,2,6,3,3,3,10,10,2,6,6,6,3,6,6,6,3,3,6,3,3,3
6,10,10,6,3,10,10,10,3,6,6,6,6,10,10,6,3,3,3,6,6,3,10,10,3,3,6,6,6
3,3,10,2,6,10,10,10,10,10,10,10,10,10,10,10,6,3,6,10,10,10,10,10,10,10,10,10,10
3,3,10,10,3,3,3,10,6,10,10,10,10,10,2,3,6,10,6,10,10,3,10,10,10,6,6,10,10
6,6,6,3,6,3,3,3,2,10,10,6,6,6,6,6,6,6,6,6,6,6,3,6,6,2,6,6,6
3,6,3,3,6,3,2,3,6,3,6,6,6,10,2,6,1,1,1,6,10,3,2,3,3,2,6,3,3
6,3,3,2,3,6,6,2,2,3,3,3,3,3,2,6,6,6,2,2,6,2,3,3,3,3,3,3,3
10,6,10,2,6,6,6,3,6,10,10,10,6,6,6,6,6,6,6,3,10,3,6,6,6,3,10,6,6
6,6,6,2,3,6,6,6,3,6,6,6,6,6,6,6,6,6,10,3,6,6,10,6,6,6,3,10,6
6,3,6,3,6,2,3,3,3,6,6,6,6,6,6,6,6,6,3,6,10,6,6,6,6,6,6,6,6
6,3,6,3,3,6,6,6,3,6,6,3,3,6,6,6,6,6,6,6,6,10,6,3,3,3,6,6,6
6,6,6,2,3,3,3,6,6,6,6,6,6,6,6,6,10,6,3,6,6,2,6,6,6,10,3,6,6
3,3,3,6,3,10,10,6,3,10,3,3,3,6,10,3,10,10,10,10,10,10,10,3,3,10,3,10,3
6,10,6,2,6,6,6,3,3,3,3,6,3,6,6,6,3,3,3,6,6,6,1,2,3,3,10,3,1
6,2,10,10,6,10,10,6,10,10,10,10,10,10,3,6,6,1,3,10,10,10,10,10,10,10,3,6,6
6,3,6,2,6,10,10,3,6,10,6,3,6,10,6,10,10,6,3,6,10,3,10,10,10,6,10,3,10
10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,3,10,10,3,10,10,10,10,10,10,10,10,10,10
3,6,6,2,6,3,6,3,3,6,6,6,6,10,6,3,6,6,6,6,10,6,6,6,6,6,3,3,6
6,6,10,10,6,3,6,10,6,10,10,10,10,6,10,10,10,10,10,3,10,6,10,10,6,3,10,10,10
6,6,10,3,3,6,10,2,3,10,10,10,6,10,6,6,6,3,6,6,6,3,10,6,6,1,10,6,6
3,10,6,3,6,10,10,6,6,3,6,3,3,6,10,6,10,10,10,6,10,6,10,10,10,10,3,6,10
6,2,6,3,6,1,1,10,6,10,6,6,6,10,6,10,10,10,10,3,6,1,10,6,6,2,2,6,6
10,6,3,3,3,6,10,3,6,10,3,3,3,10,3,6,6,6,6,10,6,3,3,3,6,6,3,3,6
10,10,10,6,6,6,10,10,10,3,10,10,10,10,3,6,10,6,10,3,6,3,10,6,2,10,10,10,3
6,6,6,2,6,6,6,10,10,6,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,6,10,10
3,6,3,1,3,3,3,2,2,3,2,3,2,3,6,3,6,6,6,6,6,6,6,6,6,6,3,3,3
3,3,3,10,3,1,2,3,6,6,6,3,3,10,3,6,10,10,10,10,10,3,6,6,6,6,10,3,3
6,6,10,3,6,1,2,2,3,6,10,6,3,10,6,2,6,6,10,3,10,2,10,6,3,2,10,3,10
10,6,10,3,3,10,10,6,6,10,10,10,10,10,6,6,6,6,3,3,6,6,10,10,10,10,3,3,10
3,3,6,3,3,3,3,3,3,3,6,3,3,6,6,6,6,6,3,6,6,6,6,6,2,3,6,3,3
3,3,3,2,3,3,3,1,1,3,3,2,2,6,6,6,6,6,6,3,6,6,10,6,6,6,6,6,6
10,3,10,2,3,6,10,10,10,10,6,10,10,10,10,10,10,3,6,10,10,6,10,10,10,10,10,10,10
2,3,10,10,1,6,6,6,1,10,6,10,10,2,3,3,6,6,6,3,10,3,10,10,6,10,10,6,10
6,6,3,1,3,10,10,2,3,6,6,6,3,10,3,6,10,10,2,10,10,10,10,3,3,10,6,2,10
6,10,10,6,6,10,10,3,6,2,3,6,6,10,10,3,6,6,6,10,10,3,2,6,6,10,10,3,6
6,3,3,1,3,10,10,6,3,6,6,6,3,6,6,6,6,6,3,6,10,6,6,6,6,3,6,6,6
10,3,10,3,10,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6,6,6,2,6,3,3,10,10,10,3,10,10,10,3,3,6,3,3,3,10,1,10,3,10,6,3,10,10
6,3,6,2,2,3,6,6,2,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,3,3,2,6,6
6,6,6,10,6,10,10,10,3,10,6,3,6,6,3,6,6,3,3,10,10,6,10,10,6,10,10,3,3
6,6,10,6,6,6,6,10,6,10,6,10,10,6,10,6,6,6,6,6,10,3,10,10,10,3,6,6,10
3,6,6,3,2,10,6,2,2,10,3,2,3,10,6,6,3,6,6,2,10,2,10,6,6,2,6,6,10
3,3,3,6,3,10,10,3,3,6,10,6,6,10,6,6,6,6,6,6,6,6,6,6,6,10,6,6,6
10,3,6,6,6,10,6,3,2,6,10,6,10,3,6,3,10,6,6,6,10,6,3,3,6,10,6,3,6
10,10,10,10,10,10,10,3,3,6,10,10,10,10,6,3,10,10,10,10,10,10,10,6,6,10,3,6,6
10,6,10,3,3,2,6,6,10,6,6,6,6,6,6,6,6,6,10,3,10,3,6,3,2,1,6,6,6
10,10,10,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3,3,6,6,3,6,2,6,3,6,3,3,6,3,6,6,6,2,2,2,6,2,6,6,6,6,10,6,3
10,10,6,10,3,10,10,3,6,10,10,10,10,10,10,3,10,6,6,10,10,10,6,6,10,10,10,3,10
10,3,10,6,6,10,10,3,3,10,10,6,6,6,3,3,6,3,6,6,3,3,6,3,3,6,6,3,3
6,6,10,3,6,10,10,3,6,6,6,10,10,10,6,10,10,10,10,10,10,10,10,10,10,10,10,3,10
3,3,3,6,3,2,2,2,6,3,6,6,6,6,3,3,6,3,6,3,3,3,6,3,3,6,6,6,3
10,10,10,3,10,10,10,10,10,10,3,10,10,10,3,10,10,10,10,6,6,6,10,10,10,10,10,10,10
2,2,2,1,10,10,10,1,1,3,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,6
